id,text,answer
1,в строке все числа различны,259
2,сумма двух наибольших чисел строки не больше суммы  оставшихся чисел,306
3,в строке все числа расположены в порядке убывания,6
4,среднее арифметическое минимального и максимального чисел строки больше среднего арифметического оставшихся её чисел,185
5,"в строке есть ровно три числа, каждое из которых повторяется дважды, остальные числа без повторений",6
6,квадрат разности наибольшего и наименьшего из повторяющихся чисел строки больше удвоенной суммы квадратов её неповторяющихся чисел,9
7,"в строке есть два числа, которые повторяются трижды, и два числа без повторений",10
8,наибольшее из повторяющихся чисел больше неповторяющегося числа,25
9,"в строке ровно два числа повторяются дважды, остальные числа различны",9
10,сумма повторяющихся чисел как минимум вдвое превосходит сумму неповторяющихся,10
11,среди четырёх минимальных чисел есть только одна пара равных чисел,42
12,"в строке есть как повторяющиеся, так и неповторяющиеся числа;",104
13,максимальное число не повторяется;,338
14,сумма неповторяющихся чисел как минимум втрое превосходит сумму повторяющихся,66
15,сумма квадратов наибольшего и наименьшего чисел не меньше квадрата суммы оставшихся,12
16,произведение двух наименьших чисел больше суммы оставшихся,133
17,в строке ровно одно число повторяется 4 раза,3
18,сумма чётных чисел строки больше суммы нечётных,186
19,"в строке существуют как чётные числа, так и нечётные числа",346
20,"в строке есть одно число, которое повторяется трижды, одно число, которое повторяется дважды, остальные числа различны",7
21,сумма квадратов всех повторяющихся чисел строки должна быть больше квадрата суммы всех неповторяющихся чисел строки,14
22,количество чётных и нечётных чисел в строке одинаково,104
23,в строке есть повторяющиеся числа с чётной суммой цифр,55
24,квадрат большего из повторяющихся больше произведения неповторяющихся,17
25,сумма чётных чисел равна сумме нечётных,3
26,удвоенная сумма двух наибольших чисел в строке больше утроенной суммы остальных чисел,31
27,не менее двух чисел в строке оканчиваются цифрой 5,65
28,четыре минимальных числа можно разбить на две пары чисел с равными суммами,21
29,в строке четное количество четных чисел,200
30,максимальное четное число в строке делится на 4,180
31,произведение наименьшего и наибольшего чисел строки меньше утроенной суммы оставшихся чисел,145
32,среднее арифметическое всех чисел строки является полным квадратом,2
33,"в строке есть два числа, каждое из которых повторяется дважды, остальные  числа различны",9
34,"в строке есть два  числа, каждое из которых повторяется трижды, остальные числа различны",10
35,куб разности наибольшего и наименьшего чисел не меньше квадрата суммы четырёх оставшихся,354
36,в строке чётность всех соседних чисел различна,5
37,"все неповторяющиеся числа нечетны, повторяющиеся числа чётны",4
38,"максимальное число строки повторяется столько же раз, сколько и минимальное",323
39,"в строке есть одно число, которое повторяется четыре раза, есть другое число, которое повторяется дважды, остальные числа различны",1
40,среднее арифметическое минимального и максимального среди повторяющихся чисел строки меньше неповторяющегося числа,21
41,числа в строке расположены в порядке неубывания,6
42,произведение всех повторяющихся чисел строки более чем вдвое превосходит произведение неповторяющихся чисел,11
43,четыре наименьших числа строки можно разбить на две пары чисел с нечётными суммами,140
44,"сумма максимального и минимального чисел строки меньше, чем сумма повторяющихся чисел",15
45,максимальное число строки не повторяется,338
46,сумма двух самых больших чисел строки более чем в два раза больше суммы двух самых малых,353
47,максимальное число строки не кратно минимальному,294
48,в строке первое и последнее число не являются минимальным и максимальным числом строки,274
49,сумма максимального и минимального чисел из строки хотя бы в два раза больше среднего арифметического её оставшихся,196
50,сумма наибольшего и наименьшего чисел меньше удвоенного максимального из оставшихся двух,343
51,"минимальное число строки повторяется не менее двух раз, но не более четырёх раз, остальные числа строки различны",11
52,сумма неповторяющихся чисел строки больше удвоенной суммы повторяющихся чисел,79
53,"в строке нет двух чётных или двух нечётных чисел, записанных подряд",5
54,все нечётные числа строки различны,305
55,"будучи упорядоченными, все числа строки образуют арифметическую прогрессию.",6
56,"все числа можно разбить таким образом, что чётные и нечётные числа будут находиться в чередующемся порядке",104
57,квадрат суммы наибольшего и наименьшего чисел больше суммы квадратов оставшихся чисел,49
58,"наименьшее и наибольшее число строки отличаются не более, чем в два раза",7
59,в строке есть хотя бы две пары равных чисел,38
60,утроенная сумма повторяющихся чисел строки не больше удвоенной суммы всех её чисел,107
61,"повторяющиеся числа строки не являются ни максимальным, ни минимальным числом строки",54
62,все числа в строке встречаются хотя бы два раза,3
63,сумма трех наибольших чисел строки меньше удвоенной суммы всех оставшихся чисел,294
64,в строке есть ровно пять нечётных чисел,72
65,произведение всех  нечётных чисел строки больше квадрата максимального её числа,292
66,все числа строки оканчиваются на одну и ту же цифру,3
67,утроенная разность максимального и минимального числа строки встречается в ней хотя бы один раз,2
68,"удвоенный квадрат наименьшего из  чисел строки меньше произведения всех чисел, не равных ни максимальному, ни минимальному элементу строки.",365
69,четыре наибольших числа нельзя разбить на две пары чисел с равными суммами,355
70,минимальное число  более чем в восемь раз меньше суммы  других,363
71,произведение максимального и минимального чисел строки не больше произведения четырёх её оставшихся чисел,366
72,сумма неповторяющихся чисел строки максимально возможна,1
73,среди пяти максимальных чисел нет ни одного нечётного,19
